"Samples_ID","PPE","Depth","NO2NO3","PO4","NO2","O2","Salinity","Legend"
"gos68",15.40436457,5,1.21,0.49,0.35,175.9,36.3,"PPE"
"gos69",31.74004193,5,0.02,0,0,221.5,36.3,"PPE"
"gos70",13.70967742,5,0.05,0.01,0.01,224.3,38.4,"PPE"
"gos71",12.87128713,5,6.2,0.68,0.14,200.2,36.3,"PPE"
"gos72",26.76691729,5,36.73,2.52,0.01,161.7,36.3,"PPE"
"gos73",5.882352941,488,28.64,1.94,0.02,185.2,36.3,"PPE"
"gos75",26.72035139,5,0,0.04,0.02,203.8,36.7,"PPE"
"gos76",8.66807611,50,0.02,0.01,0.02,232.1,36.2,"PPE"
"gos77",5.054432348,350,0.02,0.08,0,207.4,35.3,"PPE"
"gos78",14.51428571,60,38.1,2.8,0,1.3,36.3,"PPE"
"gos79",46.51642596,5,0.02,0,0.01,218.1,39.3,"PPE"
"gos80",15.75,5,0.9,0.27,0.04,198.6,36.3,"PPE"
"gos81",17.19083156,125,0.04,0.14,0.01,194.4,36.6,"PPE"
"gos82",4.379396415,1000,3.23,0.37,0.26,240.4,36.3,"PPE"
"gos84",46.68630339,5,25.3,1.72,0.27,338.3,36.3,"PPE"
"gos85",8.13266697,100,19.07,1.42,0.14,306.2,36.3,"PPE"
"gos86",31.55844156,5,3.15,0.56,0.06,160.5,36.3,"PPE"
"gos87",19.02192243,5,0,0.04,0.02,203.8,36.7,"PPE"
"gos88",17.20272904,5,0.02,0.01,0.03,237.9,37.9,"PPE"
"gos90",32.20153341,5,1.08,0.23,0.29,231.7,36.3,"PPE"
"gos91",11.27123006,5,22.08,1.53,0,195.2,36.3,"PPE"
"gos93",27.47005988,5,31.46,2.15,0.01,199.2,36.3,"PPE"
