"Samples_ID","NPP","PP","PPE"
"gos01",70.6983240223464,28.4185646755479,0.883111302105716
"gos02",90.7476813938767,8.34899167009978,0.903326936023553
"gos03",88.4913793103448,11.1566091954023,0.352011494252874
"gos04",98.2923154193873,1.56642390758413,0.141260673028629
"gos05",94.4703067217751,0.0783119425712421,5.45138133565369
"gos06",97.219738232664,2.71929111454353,0.0609706527924559
"gos07",98.4206416079245,1.37590168314186,0.203456708933599
"gos08",88.9369722143439,10.7135341854146,0.349493600241535
"gos09",85.1028200147364,14.2072476388238,0.689932346439815
"gos10",75.8116662386125,23.6859996071974,0.502334154190147
"gos11",95.5003277906907,4.27319864115859,0.226473568150665
"gos12",74.1176844986157,25.1082009992681,0.774114502116284
"gos13",97.1941530391854,2.42691298981796,0.378933970996606
"gos14",98.1856371998696,1.59526310071343,0.219099699416941
"gos15",83.7726881451453,15.8050015082512,0.422310346603492
"gos16",86.5920020248038,13.1802075423943,0.227790432801822
"gos17",91.3393809099331,6.89179032737315,1.76882876269379
"gos18",98.2594508690066,1.54950294177318,0.191046189220261
"gos19",97.3236800843937,2.66620423557974,0.0101156800265898
"gos20",93.0341087652556,5.95219810730024,1.01369312744415
"gos21",73.7443329882555,25.423910327348,0.83175668439653
"gos22",98.792803157407,1.07617084511768,0.131025997475353
"gos23",77.9362300142837,20.9279823065936,1.1357876791227
"gos24",96.187836636511,2.21199602572818,1.60016733776081
"gos25",91.5257162581981,7.46979634104246,1.00448740075941
"gos26",95.2553135197107,3.06023458858806,1.68445189170121
"gos27",93.2706377981378,3.9071310734358,2.82223112842643
"gos28",95.126582278481,3.87821911828896,0.995198603230031
"gos29",96.1345764623909,3.82560801619165,0.0398155214174326
"gos30",95.1075890154642,4.71905783941445,0.173353145121347
"gos31",84.4923835900987,15.102994633893,0.404621776008309
"gos32",88.6741460755814,10.6286337209302,0.697220203488372
"gos33",82.8920214068348,16.5063485956137,0.601629997551506
"gos34",93.3677907988332,3.24957781075687,3.38263139040991
"gos35",87.7148080438757,10.8104814137721,1.47471054235222
"gos36",86.7747853642652,12.2713662825329,0.953848353201865
"gos37",83.9327232253277,15.7457333663121,0.321543408360129
"gos38",95.612922705314,4.19987922705314,0.18719806763285
"gos39",98.1008359220048,1.73614570220165,0.163018375793582
"gos40",89.3880005344974,9.45614894659481,1.15585051890784
"gos41",98.2325156178577,1.67987200975164,0.087612372390675
"gos42",85.6399834665197,13.8502342243042,0.509782309176082
"gos43",72.1994204594276,26.1021783047067,1.6984012358657
"gos44",97.0477633720604,1.39192905651905,1.56030757142055
"gos45",92.2731072921505,0.269391546679053,7.45750116117046
"gos46",72.3347178954656,23.1135340948425,4.55174800969193
"gos47",78.8014965395173,20.5964960625749,0.602007397907812
"gos48",89.9855417588025,9.22563361115836,0.788824630039122
"gos49",97.9287882620794,1.93840121426765,0.132810523652922
"gos50",70.157434757453,25.283961143762,4.55860409878498
"gos51",94.571851608127,4.95187957555318,0.476268816319816
"gos52",97.895106121733,1.91896158568672,0.185932292580249
"gos53",78.0652366958703,21.5319546290956,0.402808675034101
"gos54",95.6622058144901,0.223042608829411,4.11475157668051
"gos55",73.6171666558209,26.2177067742565,0.165126569922561
"gos56",73.7092109015358,25.8679268342364,0.422862264227808
"gos57",85.7537554943728,13.7110563686422,0.535188136984978
"gos58",82.0513815208853,17.0253416221354,0.923276856979372
"gos59",87.8606539858944,11.5320225119327,0.607323502172829
"gos60",81.3230539666749,16.0656553096245,2.61129072370057
"gos61",75.4957507082153,24.2091595845137,0.29508970727101
"gos62",99.0386895532734,0.738767990368654,0.222542456357965
"gos63",85.8412322274881,12.760663507109,1.39810426540284
"gos64",97.9267347917512,1.90356734422843,0.169697864020364
"gos65",91.9457238889581,8.0018880451471,0.0523880658948504
"gos66",87.9471733676341,11.6236420830096,0.429184549356223
"gos67",98.8914208289709,1.02851511978814,0.0800640512409928
"gos68",73.0156557915481,26.5464199693453,0.437924239106635
"gos69",68.8889078265612,30.4659803654213,0.645111808017453
"gos70",88.1638762612263,11.741878257013,0.0942454817607274
"gos71",90.3145362400451,9.67239160164106,0.0130721583138927
"gos72",88.4159007483709,11.0775972455397,0.506502006089406
"gos73",97.4515318185212,2.25728578183719,0.291182399641622
"gos74",97.9601984895731,1.92584611878296,0.113955391643962
"gos75",87.6783914266009,11.35338744761,0.968221125789167
"gos76",86.539497697054,13.2823498739897,0.178152428956287
"gos77",98.1197756147314,1.44786146648633,0.432362918782289
"gos78",88.0655438436356,11.0427509456815,0.891705210682909
"gos79",95.7795442501325,0.0784313725490196,4.14202437731849
"gos80",86.5707268135746,12.8844224582281,0.544850728197322
"gos81",85.2344682852697,14.1820747548576,0.583456959872634
"gos82",94.8267043745111,5.02813045309585,0.145165172393044
"gos83",98.4333577965162,1.20194107867659,0.364701124807165
"gos84",69.2020879940343,25.7323958666241,5.06551613934164
"gos85",90.1756803306924,9.57767826386497,0.246641405442646
"gos86",75.4470381689317,18.2326549190455,6.32030691202289
"gos87",83.5388192496118,15.9772807220749,0.483900028313299
"gos88",74.4995774477846,24.9321904301984,0.568232122016983
"gos89",97.9636234239917,1.83662081180096,0.199755764207325
"gos90",87.4470014737558,9.22004307901598,3.33295544722821
"gos91",81.9729630399003,17.8520637254119,0.174973234687845
"gos92",98.1057628581557,1.62297128589263,0.271265855951665
"gos93",84.571069774743,13.9886979044031,1.44023232085394
