Samples_ID,Other__eukaryota,PPE,Depth,NO2NO3,PO4,NO2,O2,Salinity,Legend
gos01,78.31134565,21.68865435,5,7.09,1.02,0.17,249.4,36.3,PPE
gos02,81.46009486,18.53990514,45,36.98,2.62,0.01,143.2,36.3,PPE
gos03,80.28169014,19.71830986,5,0.02,0.1,0,199.1,36.4,PPE
gos05,74.28688693,25.71311307,5,0.05,0,0,207.6,39.4,PPE
gos06,91.46110057,8.538899431,177,7.09,1.02,0.17,249.4,36.3,PPE
gos07,97.68610494,2.313895057,700,0.06,0,0.03,185,35.2,PPE
gos08,89.73945743,10.26054257,115,7.09,1.02,0.17,249.4,36.3,PPE
gos09,74.25,25.75,30,0.02,0.08,0,207.4,35.3,PPE
gos10,87.3790093,12.6209907,5,3.23,0.37,0.26,240.4,36.3,PPE
gos12,85.45155502,14.54844498,155,0.15,0.07,0.07,229.5,36.3,PPE
gos13,95.47287179,4.527128211,250,5.7,0.78,0.16,216.8,36.3,PPE
gos14,96.82747771,3.172522286,850,0.47,0.18,0.03,192.6,36.3,PPE
gos15,82.6533696,17.3466304,90,2.26,0.17,0.32,239.4,36.3,PPE
gos16,81.63265306,18.36734694,40,3.73,0.56,0.19,187.3,36.3,PPE
gos17,78.75957603,21.24042397,5,7.55,1.07,0.37,237.2,36.3,PPE
gos18,96.13609164,3.86390836,740,0,0.08,0,210,35.3,PPE
gos19,90.72847682,9.271523179,35,18.15,1.3,0.15,305,36.3,PPE
gos20,74.69026549,25.30973451,5,1.3,0.46,0.08,227.7,36.3,PPE
gos21,69.74025974,30.25974026,5,0.03,0.01,0,218,38.2,PPE
gos22,97.91825336,2.081746636,380,0.02,0.1,0,199.1,36.4,PPE
gos23,68.75792142,31.24207858,65,0.03,0.01,0,218,38.2,PPE
gos24,70.88487155,29.11512845,5,0.1,0,0.05,217.1,36.3,PPE
gos25,75.58724832,24.41275168,5,6.05,0.88,0.31,95.4,36.3,PPE
gos26,73.69146006,26.30853994,30,2.68,0.5,0.04,208.9,36.3,PPE
gos27,74.39756489,25.60243511,5,0,0.06,0,206.2,37.1,PPE
gos28,85.26655897,14.73344103,80,31,2.31,0.06,325.4,36.3,PPE
gos29,90,10,40,0.03,0.28,0,219.2,34.7,PPE
gos32,81.79122183,18.20877817,30,34.55,2.95,0.01,0.6,36.3,PPE
gos33,69.39501779,30.60498221,5,3.73,0.56,0.19,187.3,36.3,PPE
gos34,76.20590353,23.79409647,5,0.99,0.36,0.05,215.7,36.3,PPE
gos35,85.46109943,14.53890057,115,34.63,2.43,0.02,38.1,36.3,PPE
gos36,71.56723485,28.43276515,40,23.9,2.68,0.03,0.7,36.3,PPE
gos37,82.93963255,17.06036745,5,6.18,0.63,0.16,190.7,36.3,PPE
gos38,95.32428356,4.67571644,600,0.64,0.09,0.27,175.4,36.3,PPE
